Job Title,Company name,Job Detail,Location,URL,About the job
Electrical Engineer Fresher,Red Group,Full-time · Entry level,"Bengaluru, Karnataka, India",https://www.linkedin.com/jobs/view/3405307800/?eBP=NotAvailableFromMidTier&refId=6SkNa0lQ1zw8NaUdVK74yA%3D%3D&trackingId=0m49TFbLnAT6gOl9FGeJKQ%3D%3D&trk=flagship3_search_srp_jobs,"Call HR Number+918233779798

Design, control, and implement electrical systems and products.
Develop manufacturing processes according to global engineering codes and standards.
Manage engineering projects and deliver them on time."
Electrical Engineer for Port Electrification,ABB,Full-time,"Chennai, Tamil Nadu, India",https://www.linkedin.com/jobs/view/3413458698/?eBP=NotAvailableFromMidTier&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=6SkNa0lQ1zw8NaUdVK74yA%3D%3D&trackingId=Nb1%2FesT1z3QqwjFI6Uouxw%3D%3D&trk=flagship3_search_srp_jobs,"Take your next career step at ABB with a global team that is energizing the transformation of society and industry to achieve a more productive, sustainable future.

At ABB, we have the clear goal of driving diversity and inclusion across all dimensions: gender, LGBTQ+, abilities, ethnicity and generations. Together, we are embarking on a journey where each and every one of us, individually and collectively, welcomes and celebrates individual differences.

This is an Electrical Engineer for Port Electrification, reporting to the Senior Engineering Manager in Business Area - India Operations Centre, Process Automation (INOPC PA) based in Chennai, Bangalore, India. You will be primarily responsible for the Plant Electrification team of India Operations Center (INOPC). INOPC is a global competence center with large team of skilled engineers who focus on supporting entire life cycle of projects that includes tendering, engineering, planning, procurement, functional system testing, installation, and commissioning.

Your responsibilities

Your background

More about us

ABB Marine & Ports supplies world-leading technologies that are driving the evolution of sustainable shipping. Electrical propulsion, data-driven decision support and integrated solutions for ship and shore from ABB are paving the way to a zero-emission marine industry, providing greater efficiency and reliability to shipowners, and preparing vessels to meet the demands of tomorrow. Our automation and electrical solutions are making port and terminal operations safer, greener and more productive. ABB Marine & Ports operates in 26 countries and has 2,000 employees. www.abb.com/marine

We look forward to receiving your application (documents submitted in English are appreciated). If you want to discover more about ABB, take another look at our website www.abb.com.It has come to our attention that the name of ABB isbeing used for asking candidates to make payments for job opportunities (interviews, offers). Please be advised that ABBmakes no such requests. All our open positions are made available on our career portal for all fitting the criteria to apply.ABB does not charge any fee whatsoever for recruitment process. Please do not make payments to any individuals/entities in connection to recruitment with ABB, even if is claimed that the money is refundable. ABB is not liable for suchtransactions. For current open positions you can visit our career website https://global.abb/group/en/careers and apply.Please refer to detailed recruitment fraud caution notice using the link https://global.abb/group/en/careers/how-to-apply/fraud-warning."
Electrical Engineer for Port Electrification,ABB,Full-time,"Bengaluru, Karnataka, India",https://www.linkedin.com/jobs/view/3413461370/?eBP=NotAvailableFromMidTier&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=6SkNa0lQ1zw8NaUdVK74yA%3D%3D&trackingId=tIcp3WlnSrHBb5rvv8ceBA%3D%3D&trk=flagship3_search_srp_jobs,"Take your next career step at ABB with a global team that is energizing the transformation of society and industry to achieve a more productive, sustainable future.

At ABB, we have the clear goal of driving diversity and inclusion across all dimensions: gender, LGBTQ+, abilities, ethnicity and generations. Together, we are embarking on a journey where each and every one of us, individually and collectively, welcomes and celebrates individual differences.

This is an Electrical Engineer for Port Electrification, reporting to the Senior Engineering Manager in Business Area - India Operations Centre, Process Automation (INOPC PA) based in Chennai, Bangalore, India. You will be primarily responsible for the Plant Electrification team of India Operations Center (INOPC). INOPC is a global competence center with large team of skilled engineers who focus on supporting entire life cycle of projects that includes tendering, engineering, planning, procurement, functional system testing, installation, and commissioning.

Your responsibilities

Your background

More about us

ABB Marine & Ports supplies world-leading technologies that are driving the evolution of sustainable shipping. Electrical propulsion, data-driven decision support and integrated solutions for ship and shore from ABB are paving the way to a zero-emission marine industry, providing greater efficiency and reliability to shipowners, and preparing vessels to meet the demands of tomorrow. Our automation and electrical solutions are making port and terminal operations safer, greener and more productive. ABB Marine & Ports operates in 26 countries and has 2,000 employees. www.abb.com/marine

We look forward to receiving your application (documents submitted in English are appreciated). If you want to discover more about ABB, take another look at our website www.abb.com.It has come to our attention that the name of ABB isbeing used for asking candidates to make payments for job opportunities (interviews, offers). Please be advised that ABBmakes no such requests. All our open positions are made available on our career portal for all fitting the criteria to apply.ABB does not charge any fee whatsoever for recruitment process. Please do not make payments to any individuals/entities in connection to recruitment with ABB, even if is claimed that the money is refundable. ABB is not liable for suchtransactions. For current open positions you can visit our career website https://global.abb/group/en/careers and apply.Please refer to detailed recruitment fraud caution notice using the link https://global.abb/group/en/careers/how-to-apply/fraud-warning."
Electrical Engineer Fresher,CodersBrain,Full-time · Entry level,"Hyderabad, Telangana, India",https://www.linkedin.com/jobs/view/3384533287/?eBP=NotAvailableFromMidTier&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=6SkNa0lQ1zw8NaUdVK74yA%3D%3D&trackingId=HdmgiOf8wk9mA2eMhg49LQ%3D%3D&trk=flagship3_search_srp_jobs,"Designing, maintaining, implementing, or improving electrical instruments, facilities, components, equipment products, or systems for industrial, commercial, or domestic purposes.
Performing a wide range of engineering tasks by operating computer-assisted design or engineering software and equipment.
Conferring with customers, engineers, and others to discuss existing or potential engineering products or projects.
Ensuring that installation and operations conform to standards and customer requirements by preparing electrical systems specifications, technical drawings, or topographical maps."
Electrical Engineer Fresher,Marine Debt Management,Full-time · Entry level,"Mumbai, Maharashtra, India",https://www.linkedin.com/jobs/view/3350678927/?eBP=NotAvailableFromMidTier&refId=6SkNa0lQ1zw8NaUdVK74yA%3D%3D&trackingId=afOYnEAO7pWLsToMuMZb9w%3D%3D&trk=flagship3_search_srp_jobs,"Conferring with customers, engineers, and others to discuss existing or potential engineering products or projects.
Ensuring that installation and operations conform to standards and customer requirements by preparing electrical systems specifications, technical drawings, or topographical maps.
Establishing construction, manufacturing, or installation standards or specifications by performing a wide range of detailed calculations.
Ensuring compliance with specifications, codes, or customer requirements by directing or coordinating installation, manufacturing, construction, maintenance, documentation, support, or testing activities."
Electrical Engineer Fresher,Marine Debt Management,Full-time · Entry level,"Nashik, Maharashtra, India",https://www.linkedin.com/jobs/view/3363937236/?eBP=NotAvailableFromMidTier&refId=6SkNa0lQ1zw8NaUdVK74yA%3D%3D&trackingId=qQwpQaZOGNUyYD1gwazpQg%3D%3D&trk=flagship3_search_srp_jobs,"Performing a wide range of engineering tasks by operating computer-assisted design or engineering software and equipment.
Conferring with customers, engineers, and others to discuss existing or potential engineering products or projects.
Ensuring that installation and operations conform to standards and customer requirements by preparing electrical systems specifications, technical drawings, or topographical maps.
Establishing construction, manufacturing, or installation standards or specifications by performing a wide range of detailed calculations."
Electrical Engineer,Caterpillar Inc.,Full-time,"Bengaluru, Karnataka, India",https://www.linkedin.com/jobs/view/3414740416/?eBP=NotAvailableFromMidTier&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=6SkNa0lQ1zw8NaUdVK74yA%3D%3D&trackingId=ztc%2B9GE8ethQH1B2TU2bnA%3D%3D&trk=flagship3_search_srp_jobs,"Career Area

Engineering

Job Description











Caterpillar is an Equal Opportunity Employer (EEO).

Not ready to apply? Submit your information to our Talent Network here ."
Electrical Engineer Fresher,Red Group,Full-time · Entry level,"Mumbai, Maharashtra, India",https://www.linkedin.com/jobs/view/3404200525/?eBP=NotAvailableFromMidTier&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=6SkNa0lQ1zw8NaUdVK74yA%3D%3D&trackingId=nQ9L4bBT6xvLEfwK3LLR7A%3D%3D&trk=flagship3_search_srp_jobs,"Call HR Number +91 8112203763

Designs electrical systems by developing and testing components.
Evaluates electrical systems, products, components, and applications by designing and conducting research programs and applying knowledge of electricity and materials."
Electrical Engineer Fresher,Red Group,Full-time · Entry level,"Thane, Maharashtra, India",https://www.linkedin.com/jobs/view/3399423485/?eBP=NotAvailableFromMidTier&refId=6SkNa0lQ1zw8NaUdVK74yA%3D%3D&trackingId=ezO6birkQueLoVYUU9u1sw%3D%3D&trk=flagship3_search_srp_jobs,"Designs electrical systems by developing and testing components.
Evaluates electrical systems, products, components, and applications by designing and conducting research programs and applying knowledge of electricity and materials.
Confirms systems’ and components’ capabilities by designing testing methods.
Develops electrical products by studying customer requirements and researching and testing manufacturing and assembly methods and materials."
Electrical Engineer Fresher,Red Group,Full-time · Entry level,"Thane, Maharashtra, India",https://www.linkedin.com/jobs/view/3403999189/?eBP=NotAvailableFromMidTier&refId=6SkNa0lQ1zw8NaUdVK74yA%3D%3D&trackingId=W6P6oG35dkgZPhV30CF6lQ%3D%3D&trk=flagship3_search_srp_jobs,"Call HR Number +91 8112203763

Designing and improving electrical products and systems
Establishing manufacturing processes
Evaluating systems’ safety, reliability, and performance"
Electrical Engineer Fresher,Red Group,Full-time · Entry level,"Chennai, Tamil Nadu, India",https://www.linkedin.com/jobs/view/3381674517/?eBP=NotAvailableFromMidTier&refId=6SkNa0lQ1zw8NaUdVK74yA%3D%3D&trackingId=qqJ8JqsaYszQmyCzjK71mA%3D%3D&trk=flagship3_search_srp_jobs,"Call HR Number+919785217470

Designing, maintaining, implementing, or improving electrical instruments, facilities, components, equipment products, or systems for industrial, commercial, or domestic purposes.
Performing a wide range of engineering tasks by operating computer-assisted design or engineering software and equipment."
Junior Electrical Engineer,Marine Debt Management,Full-time · Entry level,"Bhubaneshwar, Odisha, India",https://www.linkedin.com/jobs/view/3404041151/?eBP=NotAvailableFromMidTier&refId=6SkNa0lQ1zw8NaUdVK74yA%3D%3D&trackingId=FTROunvMeJi57%2BgQNM7kuA%3D%3D&trk=flagship3_search_srp_jobs,"Designs electrical systems by developing and testing components.
Evaluates electrical systems, products, components, and applications by designing and conducting research programs and applying knowledge of electricity and materials.
Confirms systems’ and components’ capabilities by designing testing methods.
Develops electrical products by studying customer requirements and researching and testing manufacturing and assembly methods and materials."
Electrical Engineer 1,Lam Research,Full-time,"Bengaluru, Karnataka, India",https://www.linkedin.com/jobs/view/3411139127/?alternateChannel=search&refId=6SkNa0lQ1zw8NaUdVK74yA%3D%3D&trackingId=6pQcEfO2zVLsxne2nDkjwQ%3D%3D&trk=d_flagship3_search_srp_jobs,"You Are
A B.E. / B. Tech in Electrical Engineering or Electrical & Electronics Engineering with minimum 65% aggregate
Graduating in 2023 without any backlogs
Your Typical Day
Design and development of Electrical/Electronic sub-systems for high sensitive semiconductor processing equipment.







At Lam, we believe you can’t identify an innovator through innovation alone— it’s through collaboration, precision, and delivery. As a fundamental enabler of the fourth industrial revolution and trusted partner to the world’s leading semiconductor companies, we welcome challenges and promise to deliver.

How do we get there? By combining superior systems engineering, technology leadership, a strong values-based culture, and an unwavering commitment to prove our customers’ next big thing .



Our work is everywhere you look – even if you can’t actually see it. Lam Research goes deeper than software or chips to the heart of the process that enables chip creation. So, if you want to help power the components that empower everything, join us. We are a company comprised of people who work hard, deliver outstanding results, and maintain a sense of humor during even the most challenging times. This is truly a rare opportunity. Lam Research is a market leader where our core values are not just words on the back of your badge. Given the criticality of this role to Lam Research's success, this philosophy starts with you."
Electrical Engineer 1,Lam Research,Full-time,"Bengaluru, Karnataka, India",https://www.linkedin.com/jobs/view/3411139127/?alternateChannel=search&refId=6SkNa0lQ1zw8NaUdVK74yA%3D%3D&trackingId=6pQcEfO2zVLsxne2nDkjwQ%3D%3D&trk=d_flagship3_search_srp_jobs,"You Are
A B.E. / B. Tech in Electrical Engineering or Electrical & Electronics Engineering with minimum 65% aggregate
Graduating in 2023 without any backlogs
Your Typical Day
Design and development of Electrical/Electronic sub-systems for high sensitive semiconductor processing equipment.







At Lam, we believe you can’t identify an innovator through innovation alone— it’s through collaboration, precision, and delivery. As a fundamental enabler of the fourth industrial revolution and trusted partner to the world’s leading semiconductor companies, we welcome challenges and promise to deliver.

How do we get there? By combining superior systems engineering, technology leadership, a strong values-based culture, and an unwavering commitment to prove our customers’ next big thing .



Our work is everywhere you look – even if you can’t actually see it. Lam Research goes deeper than software or chips to the heart of the process that enables chip creation. So, if you want to help power the components that empower everything, join us. We are a company comprised of people who work hard, deliver outstanding results, and maintain a sense of humor during even the most challenging times. This is truly a rare opportunity. Lam Research is a market leader where our core values are not just words on the back of your badge. Given the criticality of this role to Lam Research's success, this philosophy starts with you."
Electrical Engineer,AppSoft Solutions,Full-time · Entry level,"Pune, Maharashtra, India",https://www.linkedin.com/jobs/view/3410594988/?eBP=NotAvailableFromMidTier&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=eho2dR3QHl%2FdWk0m4Db2Cg%3D%3D&trackingId=VYiWOuMNh4T19hzg%2FZLWJw%3D%3D&trk=flagship3_search_srp_jobs,"Experienced, accomplished, self-motivated Electrical Engineer to maintain and support our industry-leading products and systems. The Electrical Engineer will work across a variety of functional groups.

Perform detailed calculations to establish standards and specifications

Inspect installations and observe operations to ensure compliance with design and equipment specifications and safety standards

Use computer-assisted engineering software (AutoCAD) to perform engineering tasks

Support manufacturing department with product development and testing

Provide quality assurance for ongoing projects

Keep current with the latest technical innovations in electrical engineering

This job is provided by Shine.com
""electrical officer"", ""electrical design engineer"", ""electrical incharge"", autocad, cad, ""electrical engineer"", ""electrical maintenance"""
Electrical Engineer Fresher,Red Group,Full-time · Entry level,"Mumbai, Maharashtra, India",https://www.linkedin.com/jobs/view/3403998219/?eBP=NotAvailableFromMidTier&refId=eho2dR3QHl%2FdWk0m4Db2Cg%3D%3D&trackingId=WkhMLkeE0MJmYv5FODAWng%3D%3D&trk=flagship3_search_srp_jobs,"Call HR Number+919785217470

Designing, maintaining, implementing, or improving electrical instruments, facilities, components, equipment products, or systems for industrial, commercial, or domestic purposes.
Performing a wide range of engineering tasks by operating computer-assisted design or engineering software and equipment."
Electrical Engineer,Bayer,Full-time · Entry level,"Vapi, Gujarat, India",https://www.linkedin.com/jobs/view/3366538144/?eBP=NotAvailableFromMidTier&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=eho2dR3QHl%2FdWk0m4Db2Cg%3D%3D&trackingId=vLQuZAAAQ7Sr%2FfgR0PraVQ%3D%3D&trk=flagship3_search_srp_jobs,"At Bayer we’re visionaries, driven to solve the world’s toughest challenges and striving for a world where ,Health for all, Hunger for none’ is no longer a dream, but a real possibility. We’re doing it with energy, curiosity and sheer dedication, always learning from unique perspectives of those around us, expanding our thinking, growing our capabilities and redefining ‘impossible’. There are so many reasons to join us. If you’re hungry to build a varied and meaningful career in a community of brilliant and diverse minds to make a real difference, there’s only one choice.



To ensure continuous availability of power to the process by doing preventive and predictive maintenance activity and to complete modification and project activities at site within the limits of budget and time








Bayer is an equal opportunity employer that strongly values fairness and respect at work. We welcome applications from all individuals, regardless of race, religion, gender, age, physical characteristics, disability, sexual orientation etc. We are committed to treating all applicants fairly and avoiding discrimination.

India : Gujarat : Vapi

Crop Science

759041"
